"","yr1status","YrFireName","Species","DBH_cm","Genus_species","CVS_percent","BCHM_m","BTL"
"594",0,"2003 - Griff","ABAM",107.696,"Abies_amabilis",5,10.67,0
"595",0,"2003 - Griff","ABAM",22.352,"Abies_amabilis",85,0,0
"596",0,"2003 - Griff","ABAM",56.896,"Abies_amabilis",0,4.57,0
"597",0,"2003 - Griff","ABAM",47.752,"Abies_amabilis",5,1.22,0
"598",0,"2003 - Griff","ABAM",35.56,"Abies_amabilis",0,0.91,0
"599",0,"2003 - Griff","ABAM",109.728,"Abies_amabilis",10,3.96,1
"600",0,"2003 - Griff","ABAM",55.372,"Abies_amabilis",0,1.83,0
"601",0,"2003 - Griff","ABAM",71.12,"Abies_amabilis",30,8.84,0
"602",0,"2003 - Griff","ABAM",93.726,"Abies_amabilis",20,11.58,1
"603",0,"2003 - Griff","ABAM",41.91,"Abies_amabilis",0,0.3,1
"604",0,"2003 - Griff","ABAM",22.352,"Abies_amabilis",0,0.15,0
"605",0,"2003 - Griff","ABAM",46.99,"Abies_amabilis",15,2.13,0
"606",0,"2003 - Griff","ABAM",38.862,"Abies_amabilis",1,0.61,0
"607",0,"2003 - Griff","ABAM",61.976,"Abies_amabilis",40,10.06,1
"608",0,"2003 - Griff","ABAM",44.45,"Abies_amabilis",0,0.15,0
"609",0,"2003 - Griff","ABAM",58.166,"Abies_amabilis",0,0.3,1
"610",0,"2003 - Griff","ABAM",29.972,"Abies_amabilis",95,4.88,0
"611",0,"2003 - Griff","ABAM",71.12,"Abies_amabilis",5,0.91,0
"5952",0,"2003 - B and B","ABCO",44.45,"Abies_concolor",50,1.83,0
"5953",0,"2006 - Shake Table","ABCO",78.74,"Abies_concolor",0,1.52,0
"5954",0,"2003 - B and B","ABCO",51.054,"Abies_concolor",0,2.13,1
"5955",0,"2006 - Shake Table","ABCO",40.64,"Abies_concolor",0,1.83,0
"5956",0,"2006 - Shake Table","ABCO",15.24,"Abies_concolor",30,0.91,0
"5957",0,"2006 - Shake Table","ABCO",53.34,"Abies_concolor",0,4.27,0
"5958",0,"2006 - Shake Table","ABCO",60.96,"Abies_concolor",15,2.74,1
"5959",0,"2003 - B and B","ABCO",65.786,"Abies_concolor",20,4.27,1
"5960",0,"2006 - Shake Table","ABCO",45.72,"Abies_concolor",1,0.3,0
"5961",0,"2006 - Shake Table","ABCO",33.02,"Abies_concolor",0,0.91,0
"5962",0,"2003 - B and B","ABCO",51.816,"Abies_concolor",15,4.27,1
"5963",0,"2006 - Shake Table","ABCO",53.34,"Abies_concolor",55,5.49,0
"5964",0,"2006 - Shake Table","ABCO",35.56,"Abies_concolor",70,0.91,0
"5965",0,"2006 - Shake Table","ABCO",48.26,"Abies_concolor",0,0.91,0
"5966",0,"2006 - Shake Table","ABCO",78.74,"Abies_concolor",40,4.57,0
"5967",0,"2006 - Shake Table","ABCO",53.34,"Abies_concolor",60,17.07,0
"5968",0,"2003 - B and B","ABCO",24.384,"Abies_concolor",40,2.74,1
"5969",0,"2007 - Grapple","ABCO",33.02,"Abies_concolor",5,1.22,0
"5970",0,"2006 - Shake Table","ABCO",81.28,"Abies_concolor",99,32.92,1
"5971",0,"2003 - B and B","ABCO",43.688,"Abies_concolor",0,0.91,0
"5972",0,"2006 - Shake Table","ABCO",45.72,"Abies_concolor",40,10.97,1
"5973",0,"2007 - Grapple","ABCO",35.56,"Abies_concolor",40,5.49,0
"5974",0,"2003 - B and B","ABCO",57.912,"Abies_concolor",90,5.49,1
"5975",0,"2006 - Shake Table","ABCO",68.58,"Abies_concolor",60,4.57,1
"5976",0,"2002 - Biscuit","ABCO",50.8,"Abies_concolor",60,7.32,1
"5977",0,"2002 - Biscuit","ABCO",33.02,"Abies_concolor",64,4.57,1
"5978",0,"2007 - Grapple","ABCO",33.02,"Abies_concolor",0,0.61,0
"5979",0,"2007 - Grapple","ABCO",33.02,"Abies_concolor",50,1.22,1
"5980",0,"2006 - Shake Table","ABCO",53.34,"Abies_concolor",85,13.41,0
"5981",0,"2006 - Shake Table","ABCO",38.1,"Abies_concolor",55,1.22,0
"5982",0,"2006 - Shake Table","ABCO",111.76,"Abies_concolor",0,8.84,1
"5983",1,"2002 - Apple","ABCO",40.64,"Abies_concolor",5,8.53,1
"5984",0,"2006 - Shake Table","ABCO",50.8,"Abies_concolor",50,10.97,1
"5985",0,"2006 - Shake Table","ABCO",27.94,"Abies_concolor",0,0.61,0
"5986",0,"2006 - Shake Table","ABCO",86.36,"Abies_concolor",55,7.62,1
"5987",0,"2006 - Shake Table","ABCO",58.42,"Abies_concolor",0,2.13,0
"5988",0,"2003 - B and B","ABCO",51.308,"Abies_concolor",10,7.32,0
"5989",0,"2006 - Shake Table","ABCO",106.68,"Abies_concolor",20,6.1,1
"5990",0,"2003 - B and B","ABCO",33.02,"Abies_concolor",40,3.66,1
"5991",0,"2006 - Shake Table","ABCO",20.32,"Abies_concolor",90,1.52,1
"5992",0,"2002 - Biscuit","ABCO",58.42,"Abies_concolor",4,5.49,1
"5993",0,"2006 - Shake Table","ABCO",30.48,"Abies_concolor",0,3.66,1
"5994",0,"2006 - Shake Table","ABCO",55.88,"Abies_concolor",1,1.52,0
"5995",0,"2003 - B and B","ABCO",42.672,"Abies_concolor",35,4.27,1
"5996",0,"2006 - Shake Table","ABCO",38.1,"Abies_concolor",0,1.22,0
"5997",0,"2006 - Shake Table","ABCO",50.8,"Abies_concolor",0,0.3,0
"5998",0,"2006 - Shake Table","ABCO",109.22,"Abies_concolor",0,0.3,0
"5999",0,"2006 - Shake Table","ABCO",60.96,"Abies_concolor",0,1.22,1
"6000",0,"2006 - Shake Table","ABCO",86.36,"Abies_concolor",25,7.32,0
"6001",0,"2003 - Davis Lake","ABCO",44.958,"Abies_concolor",70,5.79,0
"6002",0,"2002 - Biscuit","ABCO",68.58,"Abies_concolor",0,0.91,1
"6003",0,"2003 - B and B","ABCO",60.96,"Abies_concolor",1,4.57,0
"6004",0,"2003 - B and B","ABCO",48.514,"Abies_concolor",80,0.61,0
"6005",0,"2003 - B and B","ABCO",46.99,"Abies_concolor",10,1.83,0
"6006",0,"2003 - Davis Lake","ABCO",48.26,"Abies_concolor",55,6.1,1
"6007",0,"2003 - B and B","ABCO",32.766,"Abies_concolor",0,11.28,0
"6008",0,"2007 - Grapple","ABCO",38.1,"Abies_concolor",30,3.66,0
"6009",0,"2006 - Shake Table","ABCO",50.8,"Abies_concolor",0,0.91,0
"6010",0,"2006 - Shake Table","ABCO",38.1,"Abies_concolor",55,1.83,0
"6011",1,"2002 - Tiller","ABCO",27.178,"Abies_concolor",88,7.62,0
"6012",0,"2003 - Davis Lake","ABCO",46.228,"Abies_concolor",45,10.36,0
"6013",0,"2003 - B and B","ABCO",87.376,"Abies_concolor",5,3.66,0
"6014",0,"2006 - Shake Table","ABCO",58.42,"Abies_concolor",65,4.88,0
"6015",0,"2006 - Shake Table","ABCO",40.64,"Abies_concolor",20,6.4,0
"6016",0,"2003 - B and B","ABCO",48.26,"Abies_concolor",50,4.57,1
"6017",0,"2006 - Shake Table","ABCO",66.04,"Abies_concolor",0,0.91,1
"6018",0,"2007 - Grapple","ABCO",40.64,"Abies_concolor",0,1.83,0
"6019",0,"2002 - Apple","ABCO",45.72,"Abies_concolor",31,3.05,1
"6020",1,"2002 - Biscuit","ABCO",20.32,"Abies_concolor",71,3.96,0
"6021",0,"2003 - B and B","ABCO",63.246,"Abies_concolor",0,0.15,0
"6022",0,"2006 - Shake Table","ABCO",43.18,"Abies_concolor",0,3.05,0
"6023",0,"2003 - B and B","ABCO",53.848,"Abies_concolor",55,5.18,1
"6024",0,"2003 - B and B","ABCO",25.4,"Abies_concolor",30,1.83,1
"6025",0,"2003 - B and B","ABCO",40.386,"Abies_concolor",80,6.71,1
"6026",0,"2007 - Grapple","ABCO",33.02,"Abies_concolor",5,2.44,0
"6027",0,"2006 - Shake Table","ABCO",33.02,"Abies_concolor",25,1.52,0
"6028",0,"2002 - Biscuit","ABCO",40.64,"Abies_concolor",13,7.62,1
"6029",0,"2002 - Biscuit","ABCO",33.02,"Abies_concolor",5,3.35,0
"6030",0,"2003 - B and B","ABCO",67.818,"Abies_concolor",10,4.88,0
